keyword,url,title,current_price,thumbnail_url
ipad,https://www.jumia.co.ke/apple-ipad-9th-gen-64gb-wi-fi-only-276020001.html,"Apple  IPad (9th Gen, 64GB, Wi-Fi Only)","KSh 43,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/0020672/1.jpg?4664
ipad,https://www.jumia.co.ke/generic-multifunction-desk-organizer-mesh-231942962.html,Multifunction Desk Organizer - Mesh,KSh 899,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/9249132/1.jpg?0086
ipad,https://www.jumia.co.ke/apple-ipad-9th-gen-64gb-wi-fi-only-279814426.html,"Apple IPad (9th Gen, 64GB, Wi-Fi Only)","KSh 44,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/4418972/1.jpg?2659
ipad,https://www.jumia.co.ke/generic-2-in-1-adjustable-v-shape-cleaning-brush-floor-scrub-broom-266474744.html,2 In 1 Adjustable V-Shape Cleaning Brush Floor Scrub Broom,"KSh 1,686",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/7474662/1.jpg?6146
ipad,https://www.jumia.co.ke/apple-ipad-pro-11inch-wifi-cellular-256gb-m4-chip-269319903.html,Apple IPad pro 11inch wifi cellular 256gb m4 chip,"KSh 160,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/9913962/1.jpg?2294
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840EA0RM302NAFAMZ-59004914&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,YT102B-A Detachable Bluetooth Keyboard Leather Case For IPad 10.2 (2020) & (2019) / Air 3 10.5 Inch / Pro 10.5 Inch(Black),"KSh 4,020",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/379954/1.jpg?9164
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044MP26XJ97NAFAMZ-153748826&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,"Apple 2022 10.9-inch IPad (Wi-Fi + Cellular, 64GB) - Blue (10th Generation)","KSh 69,999",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/5746511/1.jpg?1070
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=GE840EA2HS6F4NAFAMZ-160672246&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,For IPad Pro 9.7 Inch / IPAD Air 2 Horizontal Flip Tablet Case + Bluetooth Keyboard,"KSh 6,299",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/8005121/1.jpg?0730
ipad,https://www.jumia.co.ke/apple-smart-keyboard-folio-for-ipad-air-ipad-pro-11-inch-279544766.html,Apple Smart Keyboard Folio for iPad Air iPad Pro 11-inch,"KSh 42,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/7445972/1.jpg?1464
ipad,https://www.jumia.co.ke/ipad-magic-keyboard-case-for-ipad-pro-13-inch-m4-apple-mpg5794111.html,Apple iPad Magic Keyboard Case for iPad Pro 13-inch (M4),"KSh 48,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/4536972/1.jpg?8332
ipad,https://www.jumia.co.ke/customer/account/login/?tkWl=AP044MP1NSYZRNAFAMZ-181072062&return=%2Fcatalog%2F%3Fq%3Dipad%26page%3D1,"Apple 2022 10.9-inch IPad (Wi-Fi, 64GB) - Blue (10th Generation)","KSh 66,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/4490631/1.jpg?7674
ipad,https://www.jumia.co.ke/apple-ipad-magic-keyboard-case-for-ipad-pro-13-inch-m4-279677602.html,Apple  iPad Magic Keyboard Case for iPad Pro 13-inch (M4),"KSh 49,000",https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/6776972/1.jpg?7392
